param N := 24;

param eta_ch := 0.91;
param eta_dch := 0.91;
param W_BESS := 120;
param P_buy_max := 100;
param delta_t := 1;

param : PV_gen Load buy_price :=
1   0   42  0.55
2   0   40  0.55
3   0   38  0.53
4   0   37  0.52
5   0   39  0.52
6   2   45  0.58
7   8   52  0.62
8   18  58  0.66
9   32  64  0.70
10  48  68  0.74
11  60  70  0.76
12  68  72  0.78
13  65  74  0.77
14  54  76  0.75
15  40  78  0.73
16  24  80  0.70
17  12  84  0.68
18  4   90  0.72
19  0   95  0.80
20  0   92  0.82
21  0   86  0.78
22  0   74  0.70
23  0   60  0.62
24  0   50  0.58
;
